service_id,userid,status,call_category,request_timestamp,pick_timestamp,end_timestamp
1,1,END,example_customer_1,2024-04-19T00:39:46,2024-04-19T00:39:54,2024-04-19T03:43:40
2,2,END,example_customer_3,2024-04-19T00:28:20,2024-04-19T00:28:26,2024-04-19T00:46:49
3,3,END,example_customer_1,2024-04-19T00:25:23,2024-04-19T00:25:28,2024-04-19T00:39:03
4,4,END,example_customer_2,2024-04-19T00:22:09,2024-04-19T00:22:12,2024-04-19T00:23:51
5,5,END,example_customer_2,2024-04-19T00:22:06,2024-04-19T00:22:11,2024-04-19T00:23:06
6,6,END,example_customer_2,2024-04-19T00:02:55,2024-04-19T00:03:00,2024-04-19T00:04:57
7,7,END,example_customer_1,2024-04-19T00:01:57,2024-04-19T00:02:06,2024-04-19T00:54:36
8,8,END,example_customer_2,2024-04-19T00:01:26,2024-04-19T00:01:31,2024-04-19T00:04:54
9,9,END,example_customer_2,2024-04-18T23:58:21,2024-04-18T23:58:24,2024-04-19T00:09:47
10,9,END,example_customer_3,2024-04-18T23:58:21,2024-04-18T23:58:24,2024-04-19T00:09:47
11,9,END,example_customer_3,2024-04-18T23:58:21,2024-04-18T23:58:24,2024-04-19T00:09:47
12,9,END,example_customer_2,2024-04-18T23:58:21,2024-04-18T23:58:24,2024-04-19T00:09:47
13,10,END,example_customer_2,2024-04-18T23:58:08,2024-04-18T23:58:11,2024-04-18T23:58:27
14,11,END,example_customer_2,2024-04-18T23:54:52,2024-04-18T23:54:56,2024-04-18T23:55:32
15,12,END,example_customer_2,2024-04-18T23:50:49,2024-04-18T23:50:52,2024-04-18T23:51:25
16,7,END,example_customer_1,2024-04-18T23:36:35,2024-04-18T23:36:45,2024-04-19T00:01:57
17,13,END,example_customer_3,2024-04-18T23:27:53,2024-04-18T23:27:58,2024-04-18T23:43:22
18,14,END,example_customer_2,2024-04-18T23:26:17,2024-04-18T23:26:36,2024-04-18T23:27:30
19,15,END,example_customer_4,2024-04-18T23:25:23,2024-04-18T23:25:31,2024-04-18T23:27:42
20,16,END,example_customer_2,2024-04-18T23:07:29,2024-04-18T23:07:41,2024-04-18T23:08:31
21,13,END,example_customer_3,2024-04-18T23:01:44,2024-04-18T23:01:47,2024-04-18T23:27:41
22,13,END,example_customer_3,2024-04-18T23:01:44,2024-04-18T23:01:47,2024-04-18T23:27:41
23,13,END,example_customer_2,2024-04-18T23:01:44,2024-04-18T23:01:47,2024-04-18T23:27:41
24,13,END,example_customer_2,2024-04-18T23:01:44,2024-04-18T23:01:47,2024-04-18T23:27:41
25,17,END,example_customer_2,2024-04-18T22:54:46,2024-04-18T22:54:52,2024-04-18T22:58:16
26,18,END,example_customer_1,2024-04-18T22:43:21,2024-04-18T22:43:25,2024-04-18T22:47:09
27,7,END,example_customer_1,2024-04-18T22:41:57,2024-04-18T22:42:08,2024-04-18T23:36:35
28,19,END,example_customer_4,2024-04-18T22:37:25,2024-04-18T22:37:31,2024-04-18T22:39:18
29,20,END,example_customer_1,2024-04-18T22:19:32,2024-04-18T22:19:42,2024-04-18T22:21:14
30,21,END,example_customer_2,2024-04-18T22:18:43,2024-04-18T22:18:51,2024-04-18T22:23:33
31,22,END,example_customer_2,2024-04-18T22:06:29,2024-04-18T22:06:41,2024-04-18T22:12:13
32,22,END,example_customer_2,2024-04-18T22:06:29,2024-04-18T22:06:41,2024-04-18T22:12:13
33,22,END,example_customer_3,2024-04-18T22:06:29,2024-04-18T22:06:41,2024-04-18T22:12:13
34,22,END,example_customer_3,2024-04-18T22:06:29,2024-04-18T22:06:41,2024-04-18T22:12:13
35,23,END,example_customer_4,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
36,23,END,example_customer_2,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
37,23,END,example_customer_2,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
38,23,END,example_customer_2,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
39,23,END,example_customer_3,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
40,23,END,example_customer_3,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
41,23,END,example_customer_3,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
42,23,END,example_customer_4,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
43,23,END,example_customer_4,2024-04-18T22:03:18,2024-04-18T22:03:22,2024-04-18T22:26:33
44,24,END,example_customer_2,2024-04-18T22:02:14,2024-04-18T22:02:21,2024-04-18T22:04:08
45,23,END,example_customer_2,2024-04-18T22:01:10,2024-04-18T22:01:18,2024-04-18T22:02:14
46,25,END,example_customer_1,2024-04-18T21:41:29,2024-04-18T21:41:48,2024-04-18T21:46:33
47,26,END,example_customer_5,2024-04-18T21:41:12,2024-04-18T21:41:23,2024-04-18T21:42:06
48,27,END,example_customer_2,2024-04-18T21:41:07,2024-04-18T21:41:14,2024-04-18T21:46:11
49,28,END,example_customer_3,2024-04-18T21:30:08,2024-04-18T21:30:13,2024-04-18T21:51:42
